version,run_name,mpi_ranks,omp_threads,fom_mlups,ipc,l1_miss_pct,cache_miss_pct,cpu_utilization,task_clock_seconds
v10,v10-np1-omp1,1,1,211.23,1.65,26.92,3.62,0.97,12.64
v10,v10-np1-omp2,1,2,222.94,0.91,27.69,3.81,1.89,23.45
v10,v10-np1-omp4,1,4,188.22,1.01,26.45,4.32,1.63,23.71
v10,v10-np1-omp8,1,8,158.60,0.96,25.04,4.83,1.69,28.75
v10,v10-np1-omp16,1,16,116.31,0.88,22.25,5.94,1.75,40.05
v10,v10-np2-omp1,2,1,371.22,1.87,24.01,6.62,1.84,14.39
v10,v10-np2-omp2,2,2,353.56,0.96,23.10,6.86,3.75,29.58
v10,v10-np2-omp4,2,4,275.58,1.11,22.23,7.85,3.06,31.29
v10,v10-np2-omp8,2,8,212.64,1.00,19.90,8.64,3.31,42.65
v10,v10-np4-omp1,4,1,483.65,2.13,18.52,10.61,3.40,22.31
v10,v10-np4-omp2,4,2,629.13,1.50,17.86,9.64,6.99,33.45
v10,v10-np4-omp4,4,4,349.49,0.50,16.26,10.68,14.84,117.94
v10,v10-np8-omp1,8,1,600.52,2.34,14.83,13.21,6.87,35.81
v10,v10-np8-omp2,8,2,178.51,0.54,10.51,13.67,15.39,231.09
v10,v10-np16-omp1,16,1,557.15,2.36,10.93,5.74,13.17,76.96
v11,v11-np1-omp1,1,1,219.14,1.68,24.11,2.80,0.97,12.12
v11,v11-np1-omp2,1,2,210.13,0.86,23.94,2.67,1.90,24.80
v11,v11-np1-omp4,1,4,193.52,1.02,23.23,3.36,1.63,23.04
v11,v11-np1-omp8,1,8,167.96,0.98,22.34,3.92,1.68,27.08
v11,v11-np1-omp16,1,16,129.00,0.90,20.48,4.85,1.76,36.40
v11,v11-np2-omp1,2,1,381.59,1.81,21.94,4.82,1.84,14.03
v11,v11-np2-omp2,2,2,356.99,0.92,20.78,4.46,3.76,29.23
v11,v11-np2-omp4,2,4,291.93,1.14,19.58,5.70,3.00,29.13
v11,v11-np2-omp8,2,8,234.89,1.03,18.32,6.57,3.22,38.05
v11,v11-np4-omp1,4,1,452.53,2.37,14.25,7.31,3.48,23.70
v11,v11-np4-omp2,4,2,578.35,1.65,13.23,7.55,7.18,36.31
v11,v11-np4-omp4,4,4,323.29,0.65,10.50,9.19,14.91,127.53
v11,v11-np8-omp1,8,1,392.26,3.26,6.31,10.41,7.00,54.17
v11,v11-np8-omp2,8,2,158.30,1.12,4.01,13.06,15.06,260.68
v11,v11-np16-omp1,16,1,203.37,3.78,2.42,6.13,14.72,205.47
v12,v12-np1-omp1,1,1,221.78,1.68,24.08,2.82,0.97,12.13
v12,v12-np1-omp2,1,2,206.67,0.83,25.03,2.56,1.90,25.28
v12,v12-np1-omp4,1,4,189.84,1.01,23.92,3.29,1.62,23.38
v12,v12-np1-omp8,1,8,166.74,0.97,22.35,3.97,1.67,27.18
v12,v12-np1-omp16,1,16,127.29,0.90,20.59,4.80,1.74,36.59
v12,v12-np2-omp1,2,1,375.25,1.81,22.05,4.89,1.83,14.40
v12,v12-np2-omp2,2,2,356.16,0.92,20.87,4.37,3.57,29.48
v12,v12-np2-omp4,2,4,290.93,1.13,19.98,5.77,2.99,29.36
v12,v12-np2-omp8,2,8,233.14,1.01,18.88,6.59,3.22,38.75
v12,v12-np4-omp1,4,1,490.73,2.17,16.92,7.48,3.52,21.99
v12,v12-np4-omp2,4,2,608.32,1.54,14.68,7.70,6.98,34.75
v12,v12-np4-omp4,4,4,516.94,0.69,15.20,8.76,13.49,80.40
v12,v12-np8-omp1,8,1,659.93,2.43,14.30,10.38,6.99,32.84
v12,v12-np8-omp2,8,2,340.57,0.82,11.42,12.77,14.11,122.28
v12,v12-np16-omp1,16,1,657.60,2.44,11.30,5.80,12.67,66.57
v9,v9-np1-omp1,1,1,219.64,1.68,26.27,2.78,0.97,12.13
v9,v9-np1-omp2,1,2,210.90,0.83,26.55,2.74,1.90,24.82
v9,v9-np1-omp4,1,4,197.72,1.01,25.95,3.36,1.63,22.45
v9,v9-np1-omp8,1,8,176.72,0.97,24.77,3.88,1.68,25.89
v9,v9-np1-omp16,1,16,138.80,0.91,22.68,4.82,1.75,33.85
v9,v9-np2-omp1,2,1,383.50,1.82,23.55,4.98,1.82,14.06
v9,v9-np2-omp2,2,2,357.05,0.89,23.01,4.71,3.71,29.29
v9,v9-np2-omp4,2,4,303.81,1.10,21.93,5.92,3.04,28.23
v9,v9-np2-omp8,2,8,249.18,1.02,20.33,6.81,3.21,36.38
v9,v9-np4-omp1,4,1,463.51,2.39,14.75,7.93,3.52,23.07
v9,v9-np4-omp2,4,2,586.41,1.59,14.56,7.64,7.20,35.84
v9,v9-np4-omp4,4,4,349.54,0.70,10.84,8.87,14.93,118.00
v9,v9-np8-omp1,8,1,410.41,3.23,6.66,10.88,7.04,52.05
v9,v9-np8-omp2,8,2,178.53,1.33,3.79,12.62,14.94,231.08
v9,v9-np16-omp1,16,1,218.78,3.75,2.55,6.94,14.68,191.27
